hour,events_count,event_rate,position_count,position_rate,event_rate / position_rate
0,465,0.0026717074796318214,60372272,0.010985527043109955,0.24320248533796998
1,503,0.0028900405639888304,61562070,0.011202026400709717,0.25799265781106606
2,706,0.004056398883053905,71179570,0.012952056718222202,0.31318569485161163
3,1016,0.005837537202808453,89945757,0.01636681067653867,0.3566691958608885
4,2172,0.012479459453247991,121531524,0.022114255423290458,0.5643174149153031
5,5301,0.030457465267802766,174380273,0.0317307787393921,0.9598713450417597
6,9345,0.053692701929374996,269010467,0.048949984193209395,1.096889055519318
7,12103,0.06953908736770739,353324570,0.06429204153075764,1.0816126803881245
8,14209,0.08163933672707216,406146263,0.07390364165265385,1.1046727184402627
9,15985,0.09184353561702079,437897522,0.07968119984024846,1.152637457783723
10,16373,0.0940728313204555,435627371,0.07926811607884152,1.1867675929990433
11,16048,0.09220550888845477,420170284,0.07645549628467171,1.206002359138969
12,13355,0.07673258793652253,344694766,0.06272173546013736,1.2233811353209405
13,14307,0.08220240626041392,376064569,0.06842988272339642,1.2012647543572161
14,13992,0.08039253990324396,390012234,0.07096784337933693,1.1328023520953032
15,12720,0.07308412718476724,357158754,0.06498972161840216,1.1245490112096912
16,10899,0.06262137595808005,309171921,0.056257887712355015,1.113112818566196
17,6865,0.03944359537133861,238698269,0.04343428203667794,0.9081212701531612
18,3536,0.020316468060168003,165038923,0.03003099753778095,0.6765165903866018
19,1371,0.007877227859301564,112806342,0.0205265940741026,0.38375718011785875
20,921,0.00529170449191593,88756774,0.01615045961888263,0.32765039613665414
21,742,0.004263240752444756,74699173,0.013592494665257073,0.3136466746859765
22,572,0.0032864874803212943,70933017,0.01290719316481709,0.25462449026328393
23,540,0.0031026280408627603,66436393,0.012088973427208122,0.25664942185080925
